3.8.0 (default, Nov 16 2019, 06:37:13) 
[Clang 11.0.0 (clang-1100.0.33.12)]
vmi-centos-7.9-amd64-100gb => 857b983b-44e8-457d-9136-6f23e7365859
vmi-centos-7.9-amd64 => fdb30f5c-1c94-4175-aac5-a26756c0bbb0
vmi-centos-7.9-amd64-30gb => 21e87fc2-78dd-41f8-adfc-6df330341b3a
vmi-centos-7.9-amd64-20gb => d2f3dfad-4058-4b03-804d-de7ed4c661de
vmi-minecraftbe-1.16.101.01-ubuntu-18.04-amd64-100gb => 68023ca0-41b8-45d0-aa79-8f33c5efb021
vmi-minecraftbe-1.16.101.01-ubuntu-18.04-amd64 => 39ec1a3c-911d-4fa0-97e9-717dc088a290
vmi-terraria-1412-centos-7.9-amd64-100gb => 821de9b8-f3b5-4aab-9e73-13b1215eece6
vmi-terraria-1412-centos-7.9-amd64 => a4b9216e-80bd-4e3c-82d1-af1937bb02de
vmi-freebsd-12.2-zfs-amd64-100gb => 8ee91ad5-9478-43d9-b7df-e9feafd4e2a6
vmi-freebsd-12.2-zfs-amd64-30gb => 76eb6437-a85c-4bab-805d-c4b6cb17caff
vmi-freebsd-12.2-zfs-amd64-20gb => b00a8497-619e-45fe-88ab-819fa2fb7e4e
vmi-freebsd-12.2-zfs-amd64 => 51361ae0-8077-4f71-a3e8-ed28b40610be
vmi-freebsd-12.2-ufs-amd64-100gb => e66bff36-b1fe-47d9-9da3-7351683df9a8
vmi-freebsd-12.2-ufs-amd64-30gb => c9fa76ce-7c7d-4f55-8201-51bd1532ae87
vmi-freebsd-12.2-ufs-amd64-20gb => 1df19865-086b-4f04-b4e1-0b0106388117
vmi-freebsd-12.2-ufs-amd64 => 1c38a1f6-d526-44c0-b362-f73160105aa0
vmi-minecraft-1.16.4-centos-7.8-amd64-100gb => 83ef5fdb-879b-4ebf-9a3f-656803ddc956
vmi-minecraft-1.16.4-centos-7.8-amd64 => 3fde39d6-c3b0-4aa7-8b34-a9c5e73ead1a
vmi-fedora-33-amd64-100gb => f9579d02-c82a-4f24-a68a-45f3340a0fea
vmi-fedora-33-amd64 => 897d0a1b-80c0-464d-b34e-1eda0d96dc25
vmi-fedora-33-amd64-30gb => aa47fe61-39f1-4839-8660-4c24cebaf8e1
vmi-fedora-33-amd64-20gb => a7af725d-cfe4-4ed1-9d31-2be0dc2b6e88
vmi-minecraft-manager-latest-centos-7.8-amd64-100gb => c86189d6-c892-4532-a710-48c299f5be3c
vmi-minecraft-manager-latest-centos-7.8-amd64 => d98ace5a-a3f8-43fe-9697-82e83297f843
vmi-minecraftbe-manager-latest-centos-7.8-amd64-100gb => c35ba18f-e889-47b2-8941-7b8a66a61bb0
vmi-minecraftbe-manager-latest-centos-7.8-amd64 => 5d7e40df-f0cc-4889-8371-9927de055959
vmi-7dtd-a19.2b3-ubuntu-18.04-amd64-100gb => 2784ffcc-1034-4dfa-8c86-027cac49e59d
vmi-7dtd-a19.2b3-ubuntu-18.04-amd64 => 2b72dde5-dfa9-41fc-b034-99559d4808eb
vmi-laravel-8.10.0-centos-7.8-amd64-100gb => fe8ea88c-8445-40f8-a811-b0995ee35d88
vmi-laravel-8.10.0-centos-7.8-amd64 => 0dc96762-cbce-4acb-842c-2031cf7bace9
vmi-laravel-8.10.0-centos-7.8-amd64-30gb => 64226183-fbcd-42c2-be8f-00645627b27c
vmi-laravel-8.10.0-centos-7.8-amd64-20gb => c2448078-fa1e-42e1-a2a5-2da9892508ab
vmi-django-3.1.1-centos-7.8-amd64-100gb => 75c2521e-e258-4177-9e7d-f8a71de13177
vmi-django-3.1.1-centos-7.8-amd64 => 36d57d67-24e0-4b81-9ffc-821e91f23028
vmi-django-3.1.1-centos-7.8-amd64-30gb => a7285745-1a78-4f44-aab9-8c8bdc568fee
vmi-django-3.1.1-centos-7.8-amd64-20gb => f5999004-7bc2-4379-99d3-14c6ee8d088d
vmi-rails-6.0.3-centos-7.8-amd64-100gb => 8232f0fc-312c-4161-a883-b41b2c852a52
vmi-rails-6.0.3-centos-7.8-amd64 => c06894ad-63c4-4e49-a937-8d369875be22
vmi-rails-6.0.3-centos-7.8-amd64-30gb => 91b0eb63-0285-4ebd-b168-177d58dbc95f
vmi-rails-6.0.3-centos-7.8-amd64-20gb => 453bb1f6-e874-42f3-a3e7-5a3d420988aa
vmi-minecraft-1.16.3-centos-7.8-amd64-100gb => 00e858a4-6cd5-4a30-9b5c-758744a1ec98
vmi-minecraft-1.16.3-centos-7.8-amd64 => 92092f2e-2bd1-45f7-a330-aec4f0df545b
vmi-factorio-1.0.0-ubuntu-18.04-amd64-100gb => 92d01652-01d1-4ed6-8074-3275d13235ef
vmi-factorio-1.0.0-ubuntu-18.04-amd64 => 77b9daf4-873f-45ab-a215-de71f828ef32
vmi-joomla-3.9.21-centos-7.8-amd64-100gb => 95607c0e-75e8-4575-9d16-ea9fab19eaa8
vmi-joomla-3.9.21-centos-7.8-amd64-30gb => a78d5047-4e6b-4306-8209-ea6847927bd3
vmi-joomla-3.9.21-centos-7.8-amd64-20gb => c5ce5cfc-9007-4804-85a4-b63b334bd3aa
vmi-joomla-3.9.21-centos-7.8-amd64 => f4dc94a8-2b58-4de4-a531-d3e86cd6e5c0
vmi-assettocorsa-1.16.4-ubuntu-18.04-amd64-100gb => 4572ba6d-a2c2-452f-bf5e-386b943c7413
vmi-assettocorsa-1.16.4-ubuntu-18.04-amd64 => 1cb64995-aee2-4329-bb3c-7ff54eb9b212
vmi-ubuntu-20.04-amd64-100gb => f0e1fea6-dc0d-432c-a2ae-e61b6a050546
vmi-ubuntu-20.04-amd64 => 5e2ab1f8-1c8c-4685-9c2c-b2f91f60d06c
vmi-ubuntu-20.04-amd64-30gb => 0ab736e9-c6e1-42fe-b384-853c3d7dfda2
vmi-ubuntu-20.04-amd64-20gb => f1c540bc-049b-4ac3-b2fe-2cc26c036229
vmi-minecraft-1.16.2-centos-7.8-amd64-100gb => d0652ee9-1006-4d16-873b-548e12498082
vmi-minecraft-1.16.2-centos-7.8-amd64 => d1e5354b-a0ab-4217-b47c-307cebe73505
vmi-basercms-4.3.6-centos-7.8-amd64-100gb => 58e8b038-6d14-4941-bd78-a421b7d98426
vmi-basercms-4.3.6-centos-7.8-amd64 => 48947fc2-3dd3-41d3-a3f3-fdbb568f0929
vmi-basercms-4.3.6-centos-7.8-amd64-30gb => 4c79adc4-8920-45f9-bd82-ce1088d6e7c7
vmi-basercms-4.3.6-centos-7.8-amd64-20gb => 43092f95-938e-4500-9622-871563489d65
vmi-mastodon-3.2.0-ubuntu-18.04-amd64-100gb => 0fe05ebd-cea1-4760-bdea-9acaa3f9f829
vmi-mastodon-3.2.0-ubuntu-18.04-amd64 => 03e83f69-8605-409c-91bc-9c952a03392f
vmi-mastodon-3.2.0-ubuntu-18.04-amd64-30gb => 42b1a4b2-2bb6-4b3c-8193-1d234acb246f
vmi-mastodon-3.2.0-ubuntu-18.04-amd64-20gb => fca5a4d8-6efd-4fb0-a9a5-647093591819
vmi-arch-20200731-amd64-100gb => 1fe111f5-d95d-42ed-b93a-09cb9d2520ca
vmi-arch-20200731-amd64 => ab73bdc6-26b9-482e-becb-16e0d10f6941
vmi-arch-20200731-amd64-30gb => e167a90a-a885-42e2-8371-42daf69fde9c
vmi-arch-20200731-amd64-20gb => e303d7c4-0ec8-4133-bd4d-6c335ab47af1
vmi-opensuse-15.2-amd64-100gb => 984effb9-9d02-49ac-a335-5c8fc8864075
vmi-opensuse-15.2-amd64 => a81dc79f-0d2e-46d5-a9ce-60580d77f288
vmi-opensuse-15.2-amd64-30gb => 35deab51-4b22-42b6-8350-6899dde9dfab
vmi-opensuse-15.2-amd64-20gb => 669efaee-501a-48ba-8123-3c4b09c1b650
vmi-concrete5-8.5.4-centos-7.8-amd64-100gb => 8ec5296a-ed52-48cc-9d32-fa83c4a50a43
vmi-concrete5-8.5.4-centos-7.8-amd64 => 7fcb36ae-5dac-47dd-a5c4-dd2948166ba1
vmi-concrete5-8.5.4-centos-7.8-amd64-30gb => 1cb40783-ebfb-46bb-8712-4477469890f4
vmi-concrete5-8.5.4-centos-7.8-amd64-20gb => ec02a815-d761-4950-bbc5-bbd6df32392c
vmi-cacti-1.2.13-nagios-4.4.6-centos-7.8-amd64-100gb => a3f7a18d-6141-4b7d-8cbd-21e39d949b6f
vmi-cacti-1.2.13-nagios-4.4.6-centos-7.8-amd64 => 89742b85-02d0-4b79-8561-f54abb315adc
vmi-cacti-1.2.13-nagios-4.4.6-centos-7.8-amd64-30gb => 27403c37-ed07-4a31-9c3e-99873bad9e33
vmi-cacti-1.2.13-nagios-4.4.6-centos-7.8-amd64-20gb => f5bbb3f0-12ca-4650-bfc2-de7fab94e960
vmi-jenkins-2.235-centos-7.8-amd64-100gb => 30738eb6-5e80-405c-a2d4-e9cda9b98a18
vmi-jenkins-2.235-centos-7.8-amd64 => 0793ede6-6075-4c33-ab2b-15f4d326b282
vmi-jenkins-2.235-centos-7.8-amd64-30gb => 0795ff74-e180-456b-a982-f405b0d6d31b
vmi-jenkins-2.235-centos-7.8-amd64-20gb => 5cb2c6dc-4f48-4c8b-af39-b229dc792622
vmi-centos-8.2-amd64-100gb => a782e4cf-d12a-4a2c-841d-11fe28ed7b7c
vmi-centos-8.2-amd64 => e8165b31-c844-4477-970f-f970eb956953
vmi-centos-8.2-amd64-30gb => 11189112-e2ec-45c8-a006-ba48534a8f77
vmi-centos-8.2-amd64-20gb => e7902678-b385-45e1-925a-9f1f24c44a60
vmi-minecraft-1.16.1-centos-7.8-amd64-100gb => cb7ff600-10f6-4ce6-86a3-3d374f9c3b10
vmi-minecraft-1.16.1-centos-7.8-amd64 => 2493cb87-0537-42f6-b534-2ab4b0168eea
vmi-minecraft-1.16.0-centos-7.8-amd64-100gb => 4e4c668d-ce23-4e72-abde-5b3e644292c4
vmi-minecraft-1.16.0-centos-7.8-amd64 => 486485c2-9c54-47ef-ba4f-6041ee1fa742
vmi-drupal-9.0.0-centos-7.8-amd64-100gb => 81188de6-7917-489e-a4e6-cbbe694ebed9
vmi-drupal-9.0.0-centos-7.8-amd64 => 2fefc15c-ef2f-423d-ba36-16c3387e7cb5
vmi-drupal-9.0.0-centos-7.8-amd64-30gb => 6c03b0dd-1b9e-48f4-a80c-67c6283875b1
vmi-drupal-9.0.0-centos-7.8-amd64-20gb => 781f45f8-116a-4693-a6fa-e94b6b17702d
vmi-kusanagi-latest-centos-7.8-amd64-100gb => f4e6d460-7ec8-4677-b58e-748d0dc5ed39
vmi-kusanagi-latest-centos-7.8-amd64 => 645cbe67-af6d-4b85-846e-8bcc649dc094
vmi-kusanagi-latest-centos-7.8-amd64-30gb => 15c3deb3-7854-47c1-b2fa-46050df5a100
vmi-kusanagi-latest-centos-7.8-amd64-20gb => ce8e0dee-5e14-49d6-8937-9f752cb29a59
